223B2,243022,40.30143289,-87.93084061,"Varna silt loam, 2 to 4 percent slopes, eroded",84,84,4.98,9.18,17.08,21.25,Moderately well drained,Moderately well drained
223B2,243022,40.24095745,-87.93099349,"Varna silt loam, 2 to 4 percent slopes, eroded",84,84,4.98,9.18,17.08,21.25,Moderately well drained,Moderately well drained
146B2,243014,40.22556643,-87.9310825,"Elliott silty clay loam, 2 to 4 percent slopes, eroded",46,46,4.35,7.96,13.93,18.5,Somewhat poorly drained,Somewhat poorly drained
235A,242979,40.35752762,-87.93121864,"Bryce silty clay, 0 to 2 percent slopes",15,15,3.24,6.12,11.55,16.16,Poorly drained,Poorly drained
146B2,243014,40.25331539,-87.93133296,"Elliott silty clay loam, 2 to 4 percent slopes, eroded",46,46,4.35,7.96,13.93,18.5,Somewhat poorly drained,Somewhat poorly drained
235A,242979,40.36155379,-87.93133766,"Bryce silty clay, 0 to 2 percent slopes",15,15,3.24,6.12,11.55,16.16,Poorly drained,Poorly drained
131B,242975,40.31635202,-87.93139515,"Alvin fine sandy loam, 2 to 5 percent slopes",,,3.93,7.87,14.83,21.34,Well drained,Well drained
387B,243019,40.34517085,-87.93154804,"Ockley silt loam, 2 to 5 percent slopes",,,5.5,10.25,18.65,20.99,Well drained,Well drained
223D3,242973,40.23017765,-87.93159598,"Varna silty clay loam, 6 to 12 percent slopes, severely eroded",84,84,3.9,7.4,11.46,15.46,Moderately well drained,Moderately well drained
3302A,242994,40.34602094,-87.93171836,"Ambraw silty clay loam, 0 to 2 percent slopes, frequently flooded",15,15,4.1,7.6,14.59,22.01,Poorly drained,Poorly drained
91B2,243009,40.37571669,-87.9317529,"Swygert silty clay loam, 2 to 4 percent slopes, eroded",46,46,3.88,6.88,12.42,15.49,Somewhat poorly drained,Somewhat poorly drained
623A,243010,40.35098387,-87.93184292,"Kishwaukee silt loam, 0 to 2 percent slopes",,,5.5,10.12,19.12,26.17,Well drained,Well drained
235A,242979,40.35632884,-87.93206739,"Bryce silty clay, 0 to 2 percent slopes",15,15,3.24,6.12,11.55,16.16,Poorly drained,Poorly drained
